id_candidat;prenom;nom;sexe;date_naissance;id_twitter;compte_verifie;date_creation_compte;annee_election;date_premier_tour;nom_annee_election;nom_derniere_election;sortant;dissident;parti_vainqueur_presidentielles;resultat_election;nb_tweets_elec_period;nb_tweets_reserve_period;nb_tweets_last_week;nb_tweets_1st_concern;nb_tweets_2nd_concern;nb_tweets_3rd_concern;sum_likes_elec_period;max_likes_elec_period;avg_likes_elec_period;sum_likes_reserve_period;max_likes_reserve_period;avg_likes_reserve_period;sum_likes_last_week;max_likes_last_week;avg_likes_last_week;sum_likes_1st_concern;max_likes_1st_concern;avg_likes_1st_concern;sum_likes_2nd_concern;max_likes_2nd_concern;avg_likes_2nd_concern;sum_likes_3rd_concern;max_likes_3rd_concern;avg_likes_3rd_concern;sum_retweets_elec_period;max_retweets_elec_period;avg_retweets_elec_period;sum_retweets_reserve_period;max_retweets_reserve_period;avg_retweets_reserve_period;sum_retweets_last_week;max_retweets_last_week;avg_retweets_last_week;sum_retweets_1st_concern;max_retweets_1st_concern;avg_retweets_1st_concern;sum_retweets_2nd_concern;max_retweets_2nd_concern;avg_retweets_2nd_concern;sum_retweets_3rd_concern;max_retweets_3rd_concern;avg_retweets_3rd_concern
22;George;Pau-Langevin;F;1948-10-19;81063019.0;False;2009-10-01;2012;2012-06-10;SOC;NUPES;False;False;PS;True;140;45;13;0;0;0;25;9.0;0.0;4;2.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;552;196.0;4.0;151;26.0;3.0;40;5.0;3.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
35;Arlette;Zilberg;F;1956-05-20;475208227.0;False;2012-01-01;2012;2012-06-10;VEC;NUPES;False;False;PS;False;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
36;Sonia;Ouertani;F;1986-01-20;73968763.0;False;2009-09-01;2012;2012-06-10;CEN;MDM;False;False;PS;False;103;81;39;0;0;0;8;2.0;0.0;8;2.0;0.0;3;1.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1029;955.0;10.0;68;14.0;1.0;34;14.0;1.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
37;Elisabeth;Jaskulke;F;1963-11-21;392528127.0;False;2011-10-01;2012;2012-06-10;PRV;PRV;False;False;PS;False;1;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
38;Nathalie;Fanfant;F;1971-01-07;85285173.0;False;2009-10-01;2012;2012-06-10;UMP;LR;True;False;PS;False;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
39;Pénélope;Duggan;F;1953-01-02;;;;2012;2012-06-10;EXG;DXG;False;False;PS;False;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
40;Geneviève;Beduneau;F;1947-03-30;;;;2012;2012-06-10;FN;RN;False;False;PS;False;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
41;Didier;Le Reste;M;1955-06-02;7.804058319300895e+17;False;2016-09-01;2012;2012-06-10;FG;NUPES;False;False;PS;False;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
42;Pierre;Mounier;M;1970-06-30;14233770.0;False;2008-03-01;2012;2012-06-10;AUT;DIV;False;False;PS;False;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
43;Claude;Trannet;M;1952-10-20;223038322.0;False;2010-12-01;2012;2012-06-10;DVD;DVD;False;False;PS;False;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
